t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,cond_sink_kgm3s,dep_sink_kgm3s,R_BF,latent_heating_Ks,dT_dt_Ks,ice_active
0.0,268.15,421.5528425711135,-0.000999999999999935,0.04931615938631338,0.0,56217.65008857981,1e-06,5.211858423571296e-06,0.0,4.2371684714259104e-07,0.0,3.057091677219852e-08,0.0,7.456119151505182e-09,0.0,7.456119151505182e-09,7456.119151505182,2.1025514104841478e-05,-0.019978974485895157,1
0.5,268.14001051275704,421.5366517123923,-0.0002831596546351598,0.050172303869182026,0.0,56279.10934536533,1e-06,5.418514806338227e-06,0.0,4.1331276553386095e-07,0.0,3.439109106208882e-08,0.0,7.869837472791533e-09,0.0,7.869837472791533e-09,7869.837472791533,2.219215860486687e-05,-0.019977807841395134,1
1.0,268.13002160883633,421.5196923446121,0.00043415428302812455,0.05102909889634209,50003000.0,56340.54574286188,1.0096869169218749e-06,5.620568062484011e-06,1.937383384375008e-08,4.041065122915686e-07,2.1559806425548313e-07,3.842550893329974e-08,1.2410662168389011e-08,8.288129362782773e-09,1.2410662168389011e-08,8.288129362782773e-09,0.6678232998633488,5.424399406477503e-05,-0.019945756005935227,1
1.5,268.1200487308334,421.501404358321,0.0011490056049173931,0.05188329981395938,50003000.0,56401.86416809531,1.0350638678521822e-06,5.818504953700149e-06,5.075390186061475e-08,3.95873782432275e-07,2.3226625409380698e-07,4.2676188869739205e-08,3.4167221072854215e-08,8.710683126727017e-09,3.4167221072854215e-08,8.710683126727017e-09,0.25494268638802575,0.00010955634692863672,-0.019890443653071365,1
2.0,268.1101035090069,421.4816542791491,0.0018591748069670567,0.0527324528155168,50003000.0,56462.993059074026,1.0750970607441428e-06,6.012726625468992e-06,8.006638578392103e-08,3.884433435376864e-07,2.6027214669186513e-07,4.714506262959126e-08,5.815023833685155e-08,9.1372119006177e-09,5.815023833685155e-08,9.1372119006177e-09,0.15713111694724,0.00017041836255570094,-0.0198295816374443,1
2.5,268.1001887181882,421.46027111150136,0.0025641222658363684,0.053575959938307445,50003000.0,56523.915351912015,1.1282248810025483e-06,6.203572186338914e-06,1.0625564051681092e-07,3.8169112173984354e-07,3.007957458890203e-07,5.183411677249102e-08,8.498636712151421e-08,9.567691765812522e-09,8.498636712151421e-08,9.567691765812522e-09,0.11257913580577644,0.0002383888122070629,-0.019761611187792936,1
3.0,268.09030791259426,421.4370584487783,0.0032631582912189296,0.054413057111350145,50003000.0,56584.60922089652,1.1926177754976135e-06,6.3913300139578685e-06,1.2878578899013043e-07,3.7551565523790893e-07,3.552945164036343e-07,5.674531278339943e-08,1.1510029170867521e-07,1.0002027714890013e-08,1.1510029170867521e-07,1.0002027714890013e-08,0.08689836981652195,0.00031452385653302125,-0.019685476143466978,1
3.5,268.08046517452254,421.4118046048546,0.003955490526608815,0.05524286648143675,50003000.0,56645.049629481895,1.2664183818633865e-06,6.576246573518613e-06,1.4760121273154625e-07,3.6983311912148873e-07,4.254184171391332e-07,6.188055100887873e-08,1.4874770104571466e-07,1.0440063463279704e-08,1.4874770104571466e-07,1.0440063463279704e-08,0.07018638533493138,0.00039945909698429983,-0.0196005409030157,1
4.0,268.070664904071,421.38429019541314,0.0046402637410249,0.05606444035773683,50003000.0,56705.20962654065,1.347906192412105e-06,6.758533408306344e-06,1.6297562109743724e-07,3.6457366957546207e-07,5.129365849967841e-07,6.724164043092983e-08,1.8605781098279315e-07,1.0881590776801857e-08,1.8605781098279315e-07,1.0881590776801857e-08,0.058484998395515894,0.0004935153788243178,-0.01950648462117568,1
4.5,268.06091166176043,421.35429356030556,0.005316589701227031,0.056876794214247454,50003000.0,56765.061315506086,1.435579634077025e-06,6.938372749513052e-06,1.7534688332983988e-07,3.5967868241341686e-07,6.196786538627208e-07,7.283027324547369e-08,2.2706936914172346e-07,1.1326357490340752e-08,2.2706936914172346e-07,1.1326357490340752e-08,0.04988060491448981,0.000596788378091477,-0.019403211621908525,1
