t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,cond_sink_kgm3s,dep_sink_kgm3s,R_BF,latent_heating_Ks,dT_dt_Ks,ice_active
0.0,253.1,125.0716658470903,-0.001000000000000052,0.21717230191550127,0.0,98223.32487315882,1e-06,5.635076621347709e-06,0.0,6.350766213477082e-07,0.0,6.751061321362715e-08,0.0,2.2825463623191113e-08,0.0,2.2825463623191113e-08,22825.463623191114,6.436553622698867e-05,6.436553622698867e-05,1
1.0,253.1000643655362,125.06883027268458,-0.0010265820403390087,0.21713914407275847,0.0,98223.29679171563,1e-06,6.198496775110653e-06,0.0,5.634201537629441e-07,0.0,8.985279490610191e-08,0.0,2.4501848121614533e-08,0.0,2.4501848121614533e-08,24501.848121614534,6.909277370811501e-05,5.338488221385628e-05,1
2.0,253.10011775041843,125.06580207703901,-0.0010538258953541246,0.21710531137146166,0.0,98223.27350058955,1e-06,6.710626672503954e-06,0.0,5.121298973933016e-07,0.0,1.1401489322808726e-07,0.0,2.610356904942584e-08,0.0,2.610356904942584e-08,26103.56904942584,7.36094673493262e-05,4.219411500058882e-05,1
3.0,253.10015994453343,125.06259044190811,-0.0010816447054493423,0.21707091214587004,0.0,98223.25509163679,1e-06,7.183599486050031e-06,0.0,4.7297281354607724e-07,0.0,1.3986163456109703e-07,0.0,2.762574010451505e-08,0.0,2.762574010451505e-08,27625.74010451505,7.790183826487129e-05,3.077988632940927e-05,1
4.0,253.10019072441975,125.05920391299787,-0.0011099459645362794,0.21703606176873205,0.0,98223.24166250197,1e-06,7.625361690628067e-06,0.0,4.4176220457803567e-07,0.0,1.6728367187849938e-07,0.0,2.9073874791977714e-08,0.0,2.9073874791977714e-08,29073.874791977716,8.198543399051228e-05,1.915817434044141e-05,1
5.0,253.1002098825941,125.05565017994435,-0.0011386436305939527,0.2170008675449765,0.0,98223.23330382083,1e-06,8.041464357464818e-06,0.0,4.161026668367511e-07,0.0,1.9619032883135978e-07,0.0,3.04553929752334e-08,0.0,3.04553929752334e-08,30455.3929752334,8.588117780279747e-05,7.350332879178028e-06,1
6.0,253.10021723292698,125.05193610901283,-0.0011676603448151745,0.21696542594373924,0.0,98223.23009687198,1e-06,8.435971746475943e-06,0.0,3.9450738901112515e-07,0.0,2.2650485042155415e-07,0.0,3.177743115681649e-08,0.0,3.177743115681649e-08,31777.431156816492,8.960919392877407e-05,-4.623083305610809e-06,1
7.0,253.10021260984368,125.04806783714523,-0.00119692710076956,0.21692982301116062,0.0,98223.23211392303,1e-06,8.81196817856748e-06,0.0,3.7599643209153727e-07,0.0,2.5816117338092527e-07,0.0,3.304631092468578e-08,0.0,3.304631092468578e-08,33046.31092468578,9.318730861747214e-05,-1.6743817502196687e-05,1
8.0,253.10019586602618,125.04405087178606,-0.0012263822946258507,0.21689413555522816,0.0,98223.23941923102,1e-06,9.171861549357351e-06,0.0,3.598933707898707e-07,0.0,2.9110165142692373e-07,0.0,3.42674888878608e-08,0.0,3.42674888878608e-08,34267.488887860796,9.66309089633806e-05,-2.899605222421828e-05,1
9.0,253.10016686997395,125.03989018072016,-0.0012559707171869868,0.21685843240317212,0.0,98223.25207010492,1e-06,9.51757534173938e-06,0.0,3.4571379238202873e-07,0.0,3.2527540348361665e-07,0.0,3.5445643223990875e-08,0.0,3.5445643223990875e-08,35445.643223990875,9.995318696198024e-05,-4.136616516694774e-05,1
10.0,253.10012550380878,125.03559026869645,-0.0012856426468035303,0.21682277553303161,0.0,98223.2701178618,1e-06,9.8506755658092e-06,0.0,3.3310022406982003e-07,0.0,3.606370825018743e-07,0.0,3.6584788176218566e-08,0.0,3.6584788176218566e-08,36584.788176218564,0.00010316546237950589,-5.38424063493256e-05,1
11.0,253.10007166140244,125.03115524154434,-0.0013153530756855039,0.2167872210387908,0.0,98223.29360864227,1e-06,1.0172457764557519e-05,0.0,3.217821987483195e-07,0.0,3.971459369463443e-07,0.0,3.7688382426067984e-08,0.0,3.7688382426067984e-08,37688.38242606798,0.00010627748835370813,-6.64145925249937e-05,1
12.0,253.1000052468099,125.02658885954253,-0.0013450610624911995,0.21675181993802123,0.0,98223.32258409308,1e-06,1.0484008475881726e-05,0.0,3.1155071132420746e-07,0.0,4.3476508136331717e-07,0.0,3.875942221983277e-08,0.0,3.875942221983277e-08,38759.42221983277,0.00010929771400100106,-7.907384458693906e-05,1
13.0,253.09992617296533,125.02189458188431,-0.001374729193417161,0.21671661884414545,0.0,98223.35708193485,1e-06,1.0786249777490694e-05,0.0,3.0224130160896925e-07,0.0,4.734609197929885e-07,0.0,3.9800518515111704e-08,0.0,3.9800518515111704e-08,39800.518515111704,0.00011223350196201648,-9.181237003372802e-05,1
14.0,253.09983436059528,125.01707560386947,-0.0014043231331502199,0.21668166052663224,0.0,98223.39713643557,1e-06,1.107997229085198e-05,0.0,2.937225133612852e-07,0.0,5.132026831958206e-07,0.0,4.081396000326305e-08,0.0,4.081396000326305e-08,40813.96000326305,0.0001150913061186542,-0.00010462328526424088,1
15.0,253.09972973731,125.01213488817685,-0.001433811249276187,0.2166469843795185,0.0,98223.44277880607,1e-06,1.1365860107810299e-05,0.0,2.858878169583194e-07,0.0,5.53962053458059e-07,0.0,4.180176439934649e-08,0.0,4.180176439934649e-08,41801.764399346495,0.00011787681622661488,-0.00011750047095691993,1
16.0,253.09961223683905,125.00707519131362,-0.0014631642964179938,0.21661262681547103,0.0,98223.4940375331,1e-06,1.16445099364456e-05,0.0,2.7864982863529973e-07,0.0,5.957128541927175e-07,0.0,4.276572023450431e-08,0.0,4.276572023450431e-08,42765.72023450431,0.00012059507576575644,-0.00013043845423119002,1
17.0,253.09948179838483,125.00189908611974,-0.0014923551490883386,0.216578621599045,0.0,98223.55093866047,1e-06,1.1916446027696123e-05,0.0,2.719360912505244e-07,0.0,6.384307938071494e-07,0.0,4.3707421037709656e-08,0.0,4.3707421037709656e-08,43707.42103770966,0.00012325057832922304,-0.00014343231227010152,1
18.0,253.09933836607257,124.9966089810295,-0.001521358574352446,0.21654500013028416,0.0,98223.61350602873,1e-06,1.2182131968312578e-05,0.0,2.656859406164545e-07,0.0,6.820932499914405e-07,0.0,4.4628293434227e-08,0.0,4.4628293434227e-08,44628.293434227,0.00012584734685830776,-0.0001564775930972352,1
19.0,253.09918188847948,124.99120713665233,-0.001550151037245108,0.21651179168748352,0.0,98223.68176148007,1e-06,1.2441980109865102e-05,0.0,2.5984814155252395e-07,0.0,7.266790874109742e-07,0.0,4.5529620374278114e-08,0.0,4.5529620374278114e-08,45529.620374278114,0.0001283889991449793,-0.00016957025008593768,1
20.0,253.0990123182294,124.98569568012437,-0.0015787105332470046,0.2164790236361788,0.0,98223.75572503472,1e-06,1.2696359189303812e-05,0.0,2.543790794387099e-07,0.0,7.721685022946844e-07,0.0,4.641256044900691e-08,0.0,4.641256044900691e-08,46412.56044900691,0.00013087880230098069,-0.0001827065875019797,1
21.0,253.0988296116419,124.98007661759527,-0.0016070164432673369,0.2164467216100472,0.0,98223.83541504371,1e-06,1.2945600548404101e-05,0.0,2.4924135910028805e-07,0.0,8.185428890163459e-07,0.0,4.727816404750586e-08,0.0,4.727816404750586e-08,47278.16404750586,0.0001333197183190364,-0.0001958832149540994,1
22.0,253.09863372842693,124.97435184514644,-0.0016350494074619051,0.2164149096683546,0.0,98223.9208483218,1e-06,1.3190003255116238e-05,0.0,2.4440270671213677e-07,0.0,8.657847248163609e-07,0.0,4.8127386949597006e-08,0.0,4.8127386949597006e-08,48127.38694959701,0.0001357144424031422,-0.00020909700907545753,1
