Dp_nm,kappa,T_K,Sc_kappa_fraction,Sc_kappa_percent,Sc_classical_fraction,Sc_classical_percent,classical_over_kappa,absolute_difference_percent
20,0.1,283.15,0.04446934474587576,4.446934474587576,0.04446934474587576,4.446934474587576,1.0,0.0
20,0.3,283.15,0.025674388159717634,2.5674388159717636,0.025674388159717634,2.5674388159717636,1.0,0.0
20,0.6,283.15,0.018154533970551945,1.8154533970551945,0.018154533970551945,1.8154533970551945,1.0,0.0
20,1.0,283.15,0.0140624415452209,1.40624415452209,0.0140624415452209,1.40624415452209,1.0,0.0
30,0.1,283.15,0.024206045294069257,2.420604529406926,0.024206045294069257,2.420604529406926,1.0,0.0
30,0.3,283.15,0.01397536676654716,1.397536676654716,0.01397536676654716,1.397536676654716,1.0,0.0
30,0.6,283.15,0.009882076610194612,0.9882076610194612,0.009882076610194612,0.9882076610194612,1.0,0.0
30,1.0,283.15,0.007654623627445914,0.7654623627445913,0.007654623627445914,0.7654623627445913,1.0,0.0
50,0.1,283.15,0.011249953236176719,1.124995323617672,0.011249953236176719,1.124995323617672,1.0,0.0
50,0.3,283.15,0.00649516352927733,0.649516352927733,0.00649516352927733,0.649516352927733,1.0,0.0
50,0.6,283.15,0.004592774176467549,0.4592774176467549,0.004592774176467549,0.4592774176467549,1.0,0.0
50,1.0,283.15,0.00355754757967006,0.355754757967006,0.00355754757967006,0.355754757967006,1.0,0.0
75,0.1,283.15,0.006123698901956731,0.6123698901956731,0.006123698901956731,0.6123698901956731,1.0,0.0
75,0.3,283.15,0.0035355192094809348,0.35355192094809346,0.0035355192094809348,0.35355192094809346,1.0,0.0
75,0.6,283.15,0.0024999896080392706,0.24999896080392706,0.0024999896080392706,0.24999896080392706,1.0,0.0
75,1.0,283.15,0.0019364836235255406,0.19364836235255406,0.0019364836235255406,0.19364836235255406,1.0,0.0
100,0.1,283.15,0.003977459110666052,0.3977459110666052,0.003977459110666052,0.3977459110666052,1.0,0.0
100,0.3,283.15,0.0022963870882337744,0.22963870882337745,0.0022963870882337744,0.22963870882337745,1.0,0.0
100,0.6,283.15,0.0016237908823193326,0.16237908823193326,0.0016237908823193326,0.16237908823193326,1.0,0.0
100,1.0,283.15,0.0012577830089892444,0.12577830089892444,0.0012577830089892444,0.12577830089892444,1.0,0.0
150,0.1,283.15,0.00216505450975911,0.216505450975911,0.00216505450975911,0.216505450975911,1.0,0.0
150,0.3,283.15,0.0012499948040196353,0.12499948040196353,0.0012499948040196353,0.12499948040196353,1.0,0.0
150,0.6,283.15,0.0008838798023702337,0.08838798023702336,0.0008838798023702337,0.08838798023702336,1.0,0.0
150,1.0,283.15,0.0006846503509258035,0.06846503509258035,0.0006846503509258035,0.06846503509258035,1.0,0.0
200,0.1,283.15,0.0014062441545220899,0.140624415452209,0.0014062441545220899,0.140624415452209,1.0,0.0
200,0.3,283.15,0.0008118954411596663,0.08118954411596663,0.0008118954411596663,0.08118954411596663,1.0,0.0
200,0.6,283.15,0.0005740967720584436,0.05740967720584436,0.0005740967720584436,0.05740967720584436,1.0,0.0
200,1.0,283.15,0.0004446934474587575,0.04446934474587575,0.0004446934474587575,0.04446934474587575,1.0,0.0
300,0.1,283.15,0.0007654623627445914,0.07654623627445914,0.0007654623627445914,0.07654623627445914,1.0,0.0
300,0.3,283.15,0.00044193990118511684,0.04419399011851168,0.00044193990118511684,0.04419399011851168,1.0,0.0
300,0.6,283.15,0.0003124987010049088,0.031249870100490882,0.0003124987010049088,0.031249870100490882,1.0,0.0
300,1.0,283.15,0.00024206045294069257,0.024206045294069257,0.00024206045294069257,0.024206045294069257,1.0,0.0
