t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,cond_sink_kgm3s,dep_sink_kgm3s,R_BF,latent_heating_Ks,dT_dt_Ks,ice_active
0.0,253.1,125.07427383936428,-0.001000000000000052,0.21717230191550127,0.0,982.2332487315882,1e-06,5.635076621347709e-06,0.0,6.350766213477082e-07,0.0,6.751061321362714e-10,0.0,2.2825463623191112e-10,0.0,2.2825463623191112e-10,228.25463623191112,6.436553622698867e-07,6.436553622698867e-07,1
1.0,253.10000064365536,125.07423779401896,-0.001000265821727199,0.21717197033525407,0.0,982.2332459234655,1e-06,6.198578885186632e-06,0.0,5.635022638389229e-07,0.0,8.985639116446985e-10,0.0,2.4506075075972844e-10,0.0,2.4506075075972844e-10,245.06075075972845,6.910469329881297e-07,-1.501684456127061e-05,1
2.0,253.0999856268108,125.07419213204051,-0.0009992609616111408,0.2171733744219729,0.0,982.2333114384477,1e-06,6.710856771878393e-06,0.0,5.122778866917613e-07,0.0,1.1402668885142058e-09,0.0,2.6112918146030395e-10,0.0,2.6112918146030395e-10,261.129181460304,7.363583087149268e-07,-3.067899404002245e-05,1
3.0,253.09995494781674,125.07413694461505,-0.0009969845915735315,0.21717651520564848,0.0,982.2334452829898,1e-06,7.18403517597896e-06,0.0,4.731784041005671e-07,0.0,1.3988721157227414e-09,0.0,2.764112615170785e-10,0.0,2.764112615170785e-10,276.4112615170785,7.794522538700502e-07,-4.634249968159197e-05,1
4.0,253.09990860531707,125.07407231678133,-0.0009934358568159754,0.21718139374683254,0.0,982.2336474614913,1e-06,7.6260557378272365e-06,0.0,4.42020561848276e-07,0.0,1.6732956332597502e-09,0.0,2.90962104676069e-10,0.0,2.90962104676069e-10,290.96210467606903,8.20484183733313e-07,-6.200677546633755e-05,1
5.0,253.0998465985416,125.07399832523585,-0.0009886139966637083,0.2171880109858906,0.0,982.2339179750218,1e-06,8.042466437674675e-06,0.0,4.1641069984743815e-07,0.0,1.9626399893446963e-09,0.0,3.048558416171234e-10,0.0,3.048558416171234e-10,304.8558416171234,8.596631394456993e-07,-7.767118178417374e-05,1
6.0,253.09976892735983,125.07391503866043,-0.0009825183667118939,0.2171963677153948,0.0,982.2342568210852,1e-06,8.437329426411785e-06,0.0,3.948629887371111e-07,0.0,2.2661467990480192e-09,0.0,3.1816376465806136e-10,0.0,3.1816376465806136e-10,318.1637646580614,8.971901582496974e-07,-9.333508707613517e-05,1
7.0,253.09967559227275,125.07382251866193,-0.0009751484354998659,0.21720646458423876,0.0,982.2346639936574,1e-06,8.813727513486139e-06,0.0,3.763980870743536e-07,0.0,2.583164482722311e-09,0.0,3.309490230123458e-10,0.0,3.309490230123458e-10,330.94902301234583,9.332433146437692e-07,-0.00010899788280502506,1
8.0,253.09956659438993,125.0737208207695,-0.0009665037750320746,0.21721830210950024,0.0,982.2351394832839,1e-06,9.174067468845663e-06,0.0,3.6033995535952446e-07,0.0,2.9131255425389674e-09,0.0,3.4326612427473145e-10,0.0,3.4326612427473145e-10,343.26612427473145,9.679763146214816e-07,-0.0001246589848729774,1
9.0,253.09944193540505,125.07360999533209,-0.0009565840507003666,0.21723188068898688,0.0,982.2356832771902,1e-06,9.520271910667617e-06,0.0,3.462044418219552e-07,0.0,3.255530061858457e-09,0.0,3.551617995187907e-10,0.0,3.551617995187907e-10,355.16179951879076,1.0015209351604508e-06,-0.00014031783119376753,1
10.0,253.09930161757387,125.07349008828383,-0.0009453890122197768,0.21724720061256347,0.0,982.236295359377,1e-06,9.853906167635312e-06,0.0,3.33634256967694e-07,0.0,3.609933406073091e-09,0.0,3.6667614725026685e-10,0.0,3.6667614725026685e-10,366.67614725026687,1.0339902500569716e-06,-0.0001559738784787745,1
11.0,253.09914564369538,125.07336114178446,-0.0009329184858967506,0.21726426207176594,0.0,982.2369757107025,1e-06,1.0176265234167573e-05,0.0,3.2235906653226077e-07,0.0,3.975936847025787e-09,0.0,3.778437160703473e-10,0.0,3.778437160703473e-10,377.8437160703473,1.0654816829287204e-06,-0.0001716265991957731,1
12.0,253.0989740170962,125.07322319475244,-0.0009191723681709641,0.21728306516790002,0.0,982.2377243089534,1e-06,1.0488435198415989e-05,0.0,3.1216996424841576e-07,0.0,4.353180276061896e-09,0.0,3.8869443499552235e-10,0.0,3.8869443499552235e-10,388.6944349955224,1.0960796306241894e-06,-0.00018727547895731593,1
13.0,253.09878674161723,125.07307628330909,-0.0009041506202127712,0.2173036099187249,0.0,982.238541128903,1e-06,1.0791337763525018e-05,0.0,3.0290256510902916e-07,0.0,4.7413364439553196e-09,0.0,3.992543841338896e-10,0.0,3.992543841338896e-10,399.25438413388963,1.1258576364531774e-06,-0.0002029200143592913,1
14.0,253.0985838216029,125.07292044115003,-0.0008878532634512022,0.21732589626410573,0.0,982.2394261423592,1e-06,1.1085763234703111e-05,0.0,2.944254711780931e-07,0.0,5.140106339818266e-09,0.0,4.0954642426485837e-10,0.0,4.0954642426485837e-10,409.5464242648584,1.154880165538914e-06,-0.00021855971121735617,1
15.0,253.09836526189167,125.07275569985752,-0.0008702803758052958,0.21734992407063042,0.0,982.2403793182078,1e-06,1.1372395433517433e-05,0.0,2.866321988143217e-07,0.0,5.549215434932714e-09,0.0,4.1959070921538704e-10,0.0,4.1959070921538704e-10,419.59070921538705,1.1832040496680665e-06,-0.00023419408313386675,1
16.0,253.09813106780854,125.07258208916461,-0.0008514320885367372,0.21737569313560695,0.0,982.241400622447,1e-06,1.1651830834570707e-05,0.0,2.794354010532737e-07,0.0,5.96841059387151e-09,0.0,4.294051033595889e-10,0.0,4.294051033595889e-10,429.4051033595889,1.2108796645980845e-06,-0.0002498226503323484,1
17.0,253.0978812451582,125.07239963717984,-0.0008313085835700175,0.2174032031903466,0.0,982.2424900182181,1e-06,1.1924593485162492e-05,0.0,2.7276265059178443e-07,0.0,6.3974575077691884e-09,0.0,4.390055230910852e-10,0.0,4.390055230910852e-10,439.0055230910852,1.2379518929752591e-06,-0.0002654449387063493,1
18.0,253.09761580021947,125.07220837057957,-0.0008099100912254704,0.21743245390304183,0.0,982.2436474658316,1e-06,1.2191146792881142e-05,0.0,2.665533077186506e-07,0.0,6.836138541394879e-09,0.0,4.4840621752560704e-10,0.0,4.4840621752560704e-10,448.4062175256071,1.2644609158881296e-06,-0.0002810604790396548,1
19.0,253.09733473974043,125.07200831477354,-0.0007872368882649674,0.21746344488117608,0.0,982.2448729227909,1e-06,1.2451902950422301e-05,0.0,2.607561575411593e-07,0.0,7.284250911943527e-09,0.0,4.576200005557372e-10,0.0,4.576200005557372e-10,457.6200005557372,1.2904428672387654e-06,-0.00029666880636367824,1
20.0,253.09703807093408,125.07179949404807,-0.0007632892962175482,0.21749617567360455,0.0,982.2461663438129,1e-06,1.2707230552836285e-05,0.0,2.553276024139836e-07,0.0,7.741605136523497e-09,0.0,4.666584438187749e-10,0.0,4.666584438187749e-10,466.65844381877497,1.3159303778929433e-06,-0.00031226945942506744,1
21.0,253.09672580147466,125.07158193169073,-0.0007380676799248263,0.21753064577239428,0.0,982.2475276808458,1e-06,1.2957460814322634e-05,0.0,2.502302614863486e-07,0.0,8.208023699362795e-09,0.0,4.755320381075144e-10,0.0,4.755320381075144e-10,475.5320381075144,1.3409530308424834e-06,-0.00032786198024229335,1
22.0,253.0963979394944,125.0713556500993,-0.000711572446275733,0.2175668546143748,0.0,982.248956883086,1e-06,1.3202892687436807e-05,0.0,2.454318731141741e-07,0.0,8.683339900246308e-09,0.0,4.842503291643976e-10,0.0,4.842503291643976e-10,484.25032916439767,1.3655377441312467e-06,-0.00034344591373446846,1
23.0,253.09605449358068,125.07112067087742,-0.0006838040431056166,0.21760480158254597,0.0,982.2504538969929,1e-06,1.3443797112992354e-05,0.0,2.409044255555471e-07,0.0,9.167396853631277e-09,0.0,4.928220325631366e-10,0.0,4.928220325631366e-10,492.8220325631366,1.3897090948098797e-06,-0.0003590208074091314,1
24.0,253.09569547277326,125.07087701491898,-0.0006547629582119095,0.21764448600724168,0.0,982.2520186663029,1e-06,1.3680420574801415e-05,0.0,2.3662346180906037e-07,0.0,9.660046613959151e-09,0.0,5.01255131419471e-10,0.0,5.01255131419471e-10,501.255131419471,1.4134895944704288e-06,-0.0003745862110984423,1
25.0,253.09532088656215,125.07062470248292,-0.0006244497185046116,0.21768590716726519,0.0,982.2536511320418,1e-06,1.3912988093566056e-05,0.0,2.3256751876464011e-07,0.0,1.0161149407377429e-08,0.0,5.095569599236665e-10,0.0,5.095569599236665e-10,509.5569599236665,1.4368999247996725e-06,-0.0003901416767353551,1
26.0,253.0949307448854,125.07036375325964,-0.0005928648892368878,0.21772906429078667,0.0,982.2553512325366,1e-06,1.4141705764567455e-05,0.0,2.287176710013988e-07,0.0,1.0670572953751238e-08,0.0,5.177342751001187e-10,0.0,5.177342751001187e-10,517.7342751001187,1.4599591399340661e-06,-0.00040568675816297906,1
27.0,253.09452505812723,125.0700941864304,-0.0005600090733288116,0.2177739565562258,0.0,982.2571189034277,1e-06,1.4366762921454189e-05,0.0,2.2505715688673326e-07,0.0,1.118819186573422e-08,0.0,5.257933187395881e-10,0.0,5.257933187395881e-10,525.7933187395881,1.4826848411024802e-06,-0.0004212210109716456,1
28.0,253.09410383711625,125.06981602072031,-0.0005258829107576923,0.21782058309298383,0.0,982.2589540776778,1e-06,1.4588333991420786e-05,0.0,2.2157106996659742e-07,0.0,1.171388711396477e-08,0.0,5.337398710851016e-10,0.0,5.337398710851016e-10,533.7398710851016,1.5050933280151025e-06,-0.0004367439923592198,1
29.0,253.09366709312388,125.06952927444615,-0.0004904870780149757,0.21786894298213208,0.0,982.2608566855831,1e-06,1.4806580093993203e-05,0.0,2.182461025724171e-07,0.0,1.224754554929347e-08,0.0,5.415792975642982e-10,0.0,5.415792975642982e-10,541.5792975642983,1.527199730644001e-06,-0.0004522552610110136,1
30.0,253.09321483786286,125.0692339655593,-0.00045382228761257085,0.21791903525702847,0.0,982.262826654783,1e-06,1.5021650425496707e-05,0.0,2.1507033150350414e-07,0.0,1.278905947443208e-08,0.0,5.493165896303012e-10,0.0,5.493165896303012e-10,549.3165896303012,1.549018124390322e-06,-0.00046775437699630225,1
31.0,253.09274708348588,125.06893011168465,-0.0004158892876451796,0.2179708589038533,0.0,982.2648639102687,1e-06,1.5233683463349207e-05,0.0,2.1203303785250042e-07,0.0,1.3338326258620715e-08,0.0,5.569564005883589e-10,0.0,5.569564005883589e-10,556.9564005883589,1.57056163111185e-06,-0.0004832409016789716,1
32.0,253.0922638425842,125.06861773015574,-0.0003766888613781996,0.2180244128621332,0.0,982.2669683743932,1e-06,1.544280801806911e-05,0.0,2.09124554719903e-07,0.0,1.3895247989896552e-08,0.0,5.64503077136565e-10,0.0,5.64503077136565e-10,564.503077136565,1.5918425080647019e-06,-0.0004987143976402421,1
33.0,253.09176512818655,125.06829683804679,-0.0003362218268888911,0.21807969602517138,0.0,982.2691399668789,1e-06,1.56491441559194e-05,0.0,2.0633613785029055e-07,0.0,1.445973116035894e-08,0.0,5.719606872277567e-10,0.0,5.719606872277567e-10,571.9606872277567,1.612872226471107e-06,-0.0005141744286117575,1
34.0,253.09125095375794,125.06796745220184,-0.0002944890367350354,0.21813670724047768,0.0,982.2713786048275,1e-06,1.5852804011136883e-05,0.0,2.0365985521748414e-07,0.0,1.5031686380497594e-08,0.0,5.793330447615666e-10,0.0,5.793330447615666e-10,579.3330447615666,1.633661541148537e-06,-0.0005296205594176014,1
35.0,253.09072133319853,125.06762958926132,-0.0002514913776465328,0.21819544531014,0.0,982.2736842027274,1e-06,1.6053892503497164e-05,0.0,2.0108849236028043e-07,0.0,1.561102811920938e-08,0.0,5.866237315346265e-10,0.0,5.866237315346265e-10,586.6237315346265,1.654220552407096e-06,-0.0005450523559240352,1
36.0,253.0901762808426,125.06728326568634,-0.00020722977024004684,0.218255908991175,0.0,982.2760566724637,1e-06,1.6252507974375254e-05,0.0,1.986154708780913e-07,0.0,1.619767446659652e-08,0.0,5.938361168107848e-10,0.0,5.938361168107848e-10,593.8361168107848,1.6745587612355862e-06,-0.0005604693849959383,1
37.0,253.0896158114576,125.0669284977811,-0.00016170516877531504,0.2183180969958383,0.0,982.2784959233247,1e-06,1.644874275235096e-05,0.0,1.9623477797570646e-07,0.0,1.6791546917031654e-08,0.0,6.009733748182199e-10,0.0,6.009733748182199e-10,600.9733748182199,1.6946851186416269e-06,-0.0005758712144590806,1
38.0,253.08903994024314,125.06656530171328,-0.00011491856090564966,0.21838200799193308,0.0,982.2810018620108,1e-06,1.6642683657678934e-05,0.0,1.939409053279751e-07,0.0,1.7392570170306758e-08,0.0,6.08038500434982e-10,0.0,6.08038500434982e-10,608.038500434982,1.7146080698833222e-06,-0.0005912574130674951,1
39.0,253.08844868283006,125.06619369353291,-6.6870967466119e-05,0.21844764060307567,0.0,982.2835743926433,1e-06,1.6834412453519233e-05,0.0,1.9172879584029864e-07,0.0,1.8000671948963878e-08,0.0,6.150343232863355e-10,0.0,6.150343232863355e-10,615.0343232863355,1.734335594222363e-06,-0.0006066275504753151,1
40.0,253.0878420552796,125.0658136891898,-1.7563442271011336e-05,0.21851499340893418,0.0,982.2862134167727,1e-06,1.70240062506456e-05,0.0,1.895937971263656e-07,0.0,1.861578283014467e-08,0.0,6.219635204456793e-10,0.0,6.219635204456793e-10,621.9635204456793,1.7538752407393584e-06,-0.0006219811972125386,1
41.0,253.08722007408238,125.06542530375981,3.300292808226926e-05,0.21858406494548296,1000.0,982.2889188333852,1.0005431830919082e-06,1.7211537871368753e-05,5.431830919082154e-10,1.8753162072315423e-07,4.195619753182979e-12,1.9237836090500452e-08,6.8332574201220776e-15,6.2882862790419e-10,6.8332574201220776e-15,6.2882862790419e-10,628.8286279041901,1.7732511588298755e-06,-0.0006373179076660997,1
42.0,253.08658275617472,125.0650285525844,8.48270165973753e-05,0.21865485369551008,1000.0,982.2916905388394,1.0019384927961294e-06,1.7397076177585412e-05,1.3953097042211909e-09,1.8553830621665917e-07,4.213197275542028e-12,1.9866767562850932e-08,1.7602023736874988e-14,6.3563205092369e-10,1.7602023736874988e-14,6.3563205092369e-10,635.63205092369,1.7924629227632633e-06,-0.0006526372612668642,1
43.0,253.08593011891347,125.06462345136565,0.0001379076671280568,0.21872735810262178,1000.0,982.2945284269783,1.004203646001825e-06,1.758068636720483e-05,2.2651532056957543e-09,1.8361018961941893e-07,4.241837145332469e-12,2.050251550352907e-08,2.8704569175917046e-14,6.423760734905653e-10,2.8704569175917046e-14,6.423760734905653e-10,642.3760734905653,1.8115080136270664e-06,-0.000667938840019227,1
44.0,253.08526218007344,125.06421001575917,0.00019224369533249363,0.21880157657245233,1000.0,982.297432389146,1.007353990143344e-06,1.776243024259559e-05,3.150344141519033e-09,1.8174387539075863e-07,4.281884440394198e-12,2.1145020469371418e-08,4.017279832148534e-14,6.490628668769786e-10,4.017279832148534e-14,6.490628668769786e-10,649.0628668769785,1.8303926335573743e-06,-0.0006832222176984097,1
45.0,253.08457895785574,125.0637882613857,0.00024783388467358486,0.21887750746762896,1000.0,982.3004023141564,1.0114023881157533e-06,1.7942366454212602e-05,4.048397972409247e-09,1.7993621161701207e-07,4.333716859339132e-12,2.179422520344798e-08,5.2040446272912186e-14,6.556944974193814e-10,5.2040446272912186e-14,6.556944974193814e-10,655.6944974193814,1.8491226933355316e-06,-0.0006984869688743806,1
46.0,253.08388047088687,125.06335820384193,0.0003046769865570581,0.21895514910800273,1000.0,982.3034380883012,1.016359134810786e-06,1.8120550722158868e-05,4.956746695032609e-09,1.7818426794626478e-07,4.397746522830154e-12,2.2450074528757223e-08,6.434295160840279e-14,6.622729336289903e-10,6.434295160840279e-14,6.622729336289903e-10,662.2729336289904,1.8677038321229647e-06,-0.0007137326689036197,1
47.0,253.08316673821795,125.06291985871064,0.0003627717204548862,0.21903449977076142,1000.0,982.3065395953593,1.0222319074449781e-06,1.829703603807861e-05,5.872772634192048e-09,1.7648531591974304e-07,4.474421646398275e-12,2.3112515249180216e-08,7.711731792196682e-14,6.688000526909043e-10,7.711731792196682e-14,6.688000526909043e-10,668.8000526909043,1.8861414354436095e-06,-0.0007289588939226239,1
48.0,253.08243777932404,125.06247324157012,0.0004221167740176525,0.2191155576905785,1000.0,982.3097067166045,1.029025750807075e-06,1.847187284947663e-05,6.793843362096957e-09,1.7483681139801794e-07,4.564228074059105e-12,2.378149605706413e-08,9.040196684987514e-14,6.752776464151714e-10,9.040196684987514e-14,6.752776464151714e-10,675.2776464151715,1.9044406515997219e-06,-0.0007441652208429647,1
49.0,253.0816936141032,125.0620183680029,0.0004827108031942923,0.21919832105975648,1000.0,982.3129393308154,1.0367430974531418e-06,1.8645109228299767e-05,7.717346646066711e-09,1.7323637882313942e-07,4.667690664844906e-12,2.4456967446870527e-08,1.0423658566633239e-13,6.817074266951246e-10,1.0423658566633239e-13,6.817074266951246e-10,681.7074266951246,1.9226064066847255e-06,-0.0007593512273477321,1
50.0,253.08093426287584,125.06155525360408,0.0005445524323247627,0.21928278802834714,1000.0,982.3162373142821,1.0453838217859886e-06,1.8816791025393842e-05,8.640724332846832e-09,1.716817970940748e-07,4.7853745273456516e-12,2.5138881634381993e-08,1.186619725458674e-13,6.880910305218634e-10,1.186619725458674e-13,6.880910305218634e-10,688.0910305218634,1.940643418338632e-06,-0.0007745164918892237,1
51.0,253.08015974638394,125.06108391398902,0.0006076402542513632,0.21936895670428402,1000.0,982.3196005408174,1.054945325933521e-06,1.89869620122573e-05,9.561504147532321e-09,1.7017098686345715e-07,4.917886100357769e-12,2.5827192481011136e-08,1.337198825087516e-13,6.944300245982765e-10,1.337198825087516e-13,6.944300245982765e-10,694.4300245982765,1.958556208375908e-06,-0.0007896605936877426,1
52.0,253.07937008579026,125.06060436480055,0.0006719728304021991,0.21945682515348722,1000.0,982.3230288817632,1.0654226544401651e-06,1.9155664011346808e-05,1.047732850664418e-08,1.687019990895081e-07,5.065874080617962e-12,2.652185542280113e-08,1.4945287683173422e-13,7.007259095908855e-10,1.4945287683173422e-13,7.007259095908855e-10,700.7259095908855,1.9763491144006454e-06,-0.0008047831127313965,1
53.0,253.07856530267753,125.06011662171578,0.0007375486908904705,0.21954639139997278,1000.0,982.3265222060019,1.0768086340532913e-06,1.9322937016045876e-05,1.138597961312617e-08,1.6727300469906763e-07,5.23003020128496e-12,2.7222827403746757e-08,1.6590417841574709e-13,7.069801240537296e-10,1.6590417841574709e-13,7.069801240537296e-10,706.9801240537296,1.99402630051175e-06,-0.0008198836297767856,1
54.0,253.07774541904774,125.05962070045247,0.0008043663345961548,0.21963765342596367,1000.0,982.3300803799635,1.0890940343496616e-06,1.9488819301282278e-05,1.2285400296370412e-08,1.6588228523640372e-07,5.411089867200329e-12,2.7930066813100037e-08,1.8311753520315438e-13,7.131940480546664e-10,1.8311753520315438e-13,7.131940480546664e-10,713.1940480546664,2.0115917671889873e-06,-0.0008349617263504988,1
55.0,253.0769104573214,125.0591166167751,0.0008724242292444173,0.21973060917199,1000.0,982.3337032676369,1.102267744621728e-06,1.9653347525670787e-05,1.3173710272066372e-08,1.645282243885107e-07,5.609832654972615e-12,2.8643533426356193e-08,2.0113709332050066e-13,7.1936900653119e-10,2.0113709332050066e-13,7.1936900653119e-10,719.3690065311899,2.0290493604404913e-06,-0.0008500169847513275,1
56.0,253.07606044033665,125.05860438650046,0.0009417208114894107,0.2198252565369715,1000.0,982.3373907305769,1.116316962328251e-06,1.9816556825962148e-05,1.4049217706523079e-08,1.6320930029136133e-07,5.827082687534738e-12,2.9363188349643385e-08,2.200072811766913e-13,7.255062723999836e-10,2.200072811766913e-13,7.255062723999836e-10,725.5062723999837,2.0464027802830796e-06,-0.0008650489880531318,1
57.0,253.0751953913486,125.05808402550302,0.0010122544869910707,0.21992159337832717,1000.0,982.3411426279154,1.1312273884933737e-06,1.997848090449558e-05,1.4910426165122647e-08,1.6192407853343335e-07,6.063708894003112e-12,3.008899396726496e-08,2.397727053035204e-13,7.316070694420636e-10,2.397727053035204e-13,7.316070694420636e-10,731.6070694420636,2.0636555886189724e-06,-0.0008800573201082929,1
