w_m_per_s,dt_s,r_ice_init_m,status
1.0,1.0,1e-06,STABLE
1.0,1.0,5e-07,STABLE
1.0,1.0,1e-07,STABLE
1.0,0.5,1e-06,STABLE
1.0,0.5,5e-07,STABLE
1.0,0.5,1e-07,STABLE
1.0,0.1,1e-06,STABLE
1.0,0.1,5e-07,STABLE
1.0,0.1,1e-07,STABLE
5.0,1.0,1e-06,STABLE
5.0,1.0,5e-07,STABLE
5.0,1.0,1e-07,STABLE
5.0,0.5,1e-06,STABLE
5.0,0.5,5e-07,STABLE
5.0,0.5,1e-07,STABLE
5.0,0.1,1e-06,STABLE
5.0,0.1,5e-07,STABLE
5.0,0.1,1e-07,STABLE
10.0,1.0,1e-06,STABLE
10.0,1.0,5e-07,STABLE
10.0,1.0,1e-07,STABLE
10.0,0.5,1e-06,STABLE
10.0,0.5,5e-07,STABLE
10.0,0.5,1e-07,STABLE
10.0,0.1,1e-06,STABLE
10.0,0.1,5e-07,STABLE
10.0,0.1,1e-07,STABLE
