t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,cond_sink_kgm3s,dep_sink_kgm3s,R_BF,latent_heating_Ks,dT_dt_Ks,ice_active
0.0,270.15,499.2520278722786,0.020000000000000046,0.050519314758327945,500003000.0,250.0,1.4969808670286623e-06,5.242526079159015e-06,9.939617340573247e-07,4.85052158318029e-07,7.026029490425991e-06,1.3836293069334563e-10,1.3995378183496865e-05,3.8405095454354625e-11,1.3995378183496865e-05,3.8405095454354625e-11,2.7441270218507775e-06,0.034814481889336,0.024814481889336,1
0.5,270.1624072409446,498.551005466136,0.01732810878601663,0.04763984246311684,500003000.0,249.61227403134657,1.7848026988281944e-06,5.460794028382551e-06,5.756436635990641e-07,4.3653589844707226e-07,1.1907809036850715e-05,1.561317652177199e-10,1.1521701794676556e-05,3.7443521977498425e-11,1.1521701794676556e-05,3.7443521977498425e-11,3.2498256459647874e-06,0.02866105532500764,0.01866105532500764,1
1.0,270.1717377686071,497.9047061747206,0.015194858035870656,0.045347258217373336,500003000.0,249.3206964028584,1.9965925312064103e-06,5.660353769538019e-06,4.2357966475643153e-07,3.991194823109352e-07,1.6669767629018783e-05,1.736788768689788e-10,1.060953771013193e-05,3.673902352040572e-11,1.060953771013193e-05,3.673902352040572e-11,3.462829816356705e-06,0.026391988451465155,0.016391988451465153,1
1.5,270.17993376283283,497.312479848398,0.013260976984573196,0.043271979991260624,500003000.0,249.0645742769362,2.161891082253573e-06,5.8441479824187946e-06,3.3059710209432546e-07,3.67588425761551e-07,2.1162289421468486e-05,1.9095609202245172e-10,9.708432974050655e-06,3.6032583090268923e-11,9.708432974050655e-06,3.6032583090268923e-11,3.7114726121691492e-06,0.024150432389519517,0.014150432389519517,1
2.0,270.1870089790276,496.7759566891742,0.011523395799689015,0.04141058734030157,500003000.0,248.84347765562276,2.2945965124628024e-06,6.014569182030876e-06,2.654108604184585e-07,3.408423992241631e-07,2.5303477255080753e-05,2.0796860616080196e-10,8.780390321401328e-06,3.535640702193302e-11,8.780390321401328e-06,3.535640702193302e-11,4.026746616919211e-06,0.02184186667020977,0.01184186667020977,1
2.5,270.19292991236273,496.2943481146724,0.0099873207944731,0.039768678283574346,500003000.0,248.65845311593387,2.402993641421129e-06,6.173646383116241e-06,2.1679425791665348e-07,3.181544021707291e-07,2.906157077999661e-05,2.247431289769294e-10,7.86566584597655e-06,3.4745923918082497e-11,7.86566584597655e-06,3.4745923918082497e-11,4.417416732221812e-06,0.01956643093023857,0.00956643093023857,1
3.0,270.19771312782785,495.8646661554506,0.008649348023170508,0.038342487545092604,500003000.0,248.50898243432104,2.4926566597672796e-06,6.3231050850761984e-06,1.7932603669230104e-07,2.989174039199148e-07,3.243759201968076e-05,2.413188430726426e-10,7.000849628373099e-06,3.4224198926481576e-11,7.000849628373099e-06,3.4224198926481576e-11,4.888577921710733e-06,0.017415145335634333,0.0074151453356343325,1
3.5,270.20142070049565,495.48252471268205,0.007498286801376133,0.03711978660418294,500003000.0,248.39312523819407,2.567605600760226e-06,6.4644056992377316e-06,1.4989788198589265e-07,2.826012283230667e-07,3.545244259155409e-05,2.577408937443693e-10,6.209184994136501e-06,3.380259371863031e-11,6.209184994136501e-06,3.380259371863031e-11,5.443966277466518e-06,0.015445829136210797,0.005445829136210797,1
4.0,270.20414361506374,495.14285158937565,0.006518046718697345,0.03608302696802461,500003000.0,248.30803786271775,2.63086371634698e-06,6.5987770599978405e-06,1.2651623117350886e-07,2.687427215202174e-07,3.813785591141823e-05,2.74055858824071e-10,5.502061279309452e-06,3.34837122148352e-11,5.502061279309452e-06,3.34837122148352e-11,6.08566690101234e-06,0.013686814021009,0.003686814021009,1
4.5,270.2059870220742,494.8404054834022,0.005690183526505192,0.03521210992632948,500003000.0,248.2504341230857,2.6847646681936443e-06,6.727247689946495e-06,1.0780190369332856e-07,2.569412598973097e-07,4.053030676770975e-05,2.9030881048395843e-10,4.882265040131149e-06,3.32642627250867e-11,4.882265040131149e-06,3.32642627250867e-11,6.813284910110713e-06,0.012145031712685009,0.0021450317126850086,1
