t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,latent_heating_Ks,dT_dt_Ks,ice_active
0.0,273.15,579.5771407651473,-0.05000000000000009,-0.049927860781880086,0.0,0.0,1e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
5.0,272.65,578.5142815302946,-0.016627651994691697,-0.011728648194961137,0.0,0.0,1e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
10.0,272.15,443.91262511685323,0.018066230082655548,0.028160329668391382,500003000.0,0.0,5.964937325252874e-06,1e-07,9.929874650505749e-07,0.0,0.0004445072756381256,0.0,0.00022199235068093236,0.0,0.5522197778132646,0.4522197778132646,0
15.0,274.4110988890663,443.10377914284925,-0.33690618715961623,-0.3449808019472311,0.0,0.0,5.964937325252874e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
20.0,273.9110988890663,442.29493316884526,-0.31386343614855405,-0.318899462620478,0.0,0.0,5.964937325252874e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
25.0,273.4110988890663,441.4860871948413,-0.2899174924492935,-0.2916750275736204,0.0,0.0,5.964937325252874e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
30.0,272.9110988890663,440.6772412208373,-0.26502914358960994,-0.26325301693772635,0.0,0.0,5.964937325252874e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
35.0,272.4110988890663,439.8683952468333,-0.23915731534439244,-0.2335761525835102,0.0,0.0,5.964937325252874e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
40.0,271.9110988890663,439.0595492728293,-0.21225897599085553,-0.20258420430426255,0.0,0.0,5.964937325252874e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
45.0,271.4110988890663,438.25070329882533,-0.18428903527021043,-0.1702138270008747,0.0,0.0,5.964937325252874e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
50.0,270.9110988890663,437.44185732482134,-0.15520023774305178,-0.13639838831138276,0.0,0.0,5.964937325252874e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
55.0,270.4110988890663,436.63301135081736,-0.12494305020607638,-0.10106778609098024,0.0,0.0,5.964937325252874e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
60.0,269.9110988890663,435.82416537681337,-0.09346554281679682,-0.0641482551095979,0.0,0.0,5.964937325252874e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
65.0,269.4110988890663,435.0153194028094,-0.06071326355056181,-0.025562162292379825,0.0,0.0,5.964937325252874e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
70.0,268.9110988890663,434.2064734288054,-0.02662910559035281,0.014772210216046357,0.0,0.0,5.964937325252874e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
75.0,268.4110988890663,423.3510762223394,0.008846832775627086,0.05694089493027294,500003000.0,0.0,6.3009761587633135e-06,1e-07,6.720776670208782e-08,0.0,0.0005239438276394456,0.0,1.676554250281532e-05,0.0,0.04170532960899334,-0.058294670391006664,0
80.0,268.1196255371113,416.3422556517167,0.0055309105404770945,0.056491660997029916,500003000.0,0.0,6.496717581755474e-06,1e-07,3.914828459843205e-08,0.0,0.0005743057749852602,0.0,1.0382051694282318e-05,0.0,0.025825999239508252,-0.07417400076049176,0
85.0,267.74875553330884,393.980118806353,0.017069496153906065,0.07252170653280135,500003000.0,0.0,7.070759569048555e-06,1e-07,1.1480839745861613e-07,0.0,0.0007403880988793677,0.0,3.606519368945662e-05,0.0,0.08971441216282741,-0.010285587837172594,0
90.0,267.69732759412295,393.2442501999176,-0.03379351508712619,0.019401366452426454,0.0,0.0,7.070759569048555e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
95.0,267.19732759412295,390.45147132203766,0.001798889118409609,0.06216814028091052,500003000.0,0.0,7.124659721839004e-06,1e-07,1.0780030558089845e-08,0.0,0.0007574493555212848,0.0,3.4381967072880602e-06,0.0,0.008552728127582239,-0.09144727187241777,0
100.0,266.7400912347609,347.94892524454247,0.03004364764823897,0.0970431729588862,500003000.0,0.0,7.995235112286359e-06,1e-07,1.7411507808947086e-07,0.0,0.0010704217808879363,0.0,6.993286727049469e-05,0.0,0.17396235639426538,0.07396235639426538,0
105.0,267.10990301673223,347.2976035950738,-0.10766123572346854,-0.053073428786351344,0.0,0.0,7.995235112286359e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
110.0,266.60990301673223,346.6462819456051,-0.07461915816569568,-0.013162913295210368,0.0,0.0,7.995235112286359e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
115.0,266.10990301673223,345.9949602961364,-0.04020177597684716,0.028594190851137374,0.0,0.0,7.995235112286359e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
120.0,265.60990301673223,345.3399551400322,-0.004345836548619474,0.07229060856224717,0.0,1.1309495650665329,7.995235112286359e-06,0.00013349161888619686,0.0,2.6678323777239372e-05,0.0,1.0333874490582295e-08,0.0,6.195679964780524e-09,1.7471201015112446e-05,-0.0999825287989849,1
125.0,265.1099903727373,300.0787638380911,0.03299706677169456,0.11800360755499356,500003000.0,1.3644636939479513,8.770210534652163e-06,0.00013364969816137656,1.5499508447316108e-07,3.161585503593836e-08,0.0014128344513453539,1.2511917615047777e-08,7.490666076976352e-05,8.879368505448778e-12,0.18633500207814838,0.08633500207814837,1
130.0,265.541665383128,299.513734951608,-0.13190983911522183,-0.0644631228103228,0.0,1.1610869346892307,8.770210534652163e-06,0.0001335610756469152,0.0,-1.7724502892271556e-08,0.0,1.0625818836240965e-08,0.0,-4.230364777690149e-12,-1.1929207741267545e-08,-0.10000001192920775,1
135.0,265.041665323482,298.9487046555145,-0.09931584891734747,-0.024540632512202634,0.0,1.3986183956286586,8.770210534652163e-06,0.00013352835944734344,0.0,-6.5432399143521955e-09,0.0,1.279021134244416e-08,0.0,-1.8802617297612384e-12,-5.302150987207313e-09,-0.10000000530215099,1
140.0,264.54166529697125,298.383672331396,-0.06534724002666333,0.0172509758232041,0.0,1.6636841501170836,8.770210534652163e-06,0.00013355064102773482,0.0,4.456316078273685e-09,0.0,1.5221826057288504e-08,0.0,1.5237650904055112e-12,4.296865936526586e-09,-0.09999999570313407,1
