t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,ice_active
0.0,273.15,580.3717518579535,-0.050000000000000044,0.05555555555555536,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,273.14,580.350503715907,-0.04934478247092333,0.05628357503230741,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,273.13,580.3292555738606,-0.04868906373332016,0.057012151407421996,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,273.12,580.3080074318141,-0.04803284336802516,0.05774128514663879,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,273.11,580.2867592897676,-0.047376120955489265,0.05847097671612289,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,273.1,580.2655111477211,-0.046718896075787275,0.05920122658245863,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
6.0,273.09000000000003,580.2442630056746,-0.046061168308609846,0.059932035212655554,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
7.0,273.08000000000004,580.2230148636281,-0.045402937233273266,0.060663403074140865,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
8.0,273.07000000000005,580.2017667215816,-0.04474420242870891,0.061395330634767875,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,273.06000000000006,580.1805185795351,-0.044084963473465355,0.06212781836281622,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,273.05000000000007,580.1592704374887,-0.0434252199457158,0.06286086672698232,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,273.0400000000001,580.1380222954422,-0.04276497142324731,0.0635944761963918,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,273.0300000000001,580.1167741533957,-0.04210421748346338,0.06432864724059639,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
13.0,273.0200000000001,580.0955260113492,-0.04144295770338813,0.06506338032956882,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
14.0,273.0100000000001,580.0742778693027,-0.0407811916596611,0.06579867593370992,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
