t_s,T_K,Sw,Si,e_Pa,Cl_Pa_per_s,Ci_Pa_per_s,qi_proxy
0.0,273.15,-0.05000000000000004,0.0,580.393,0.0,0.0,0.0
1.0,273.14,-0.04930997778404011,0.0007263391746947016,580.393,0.0,0.0,0.0
2.0,273.13,-0.04861940379583501,0.0014532591622789324,580.393,0.0,0.0,0.0
3.0,273.12,-0.047928277555565606,0.0021807604678257993,580.393,0.0,0.0,0.0
4.0,273.11,-0.04723659858295888,0.0029088435968854403,580.393,0.0,0.0,0.0
5.0,273.1,-0.04654436639729513,0.0036375090554787667,580.393,0.0,0.0,0.0
6.0,273.09000000000003,-0.04585158051740013,0.00436675735010517,580.393,0.0,0.0,0.0
7.0,273.08000000000004,-0.0451582404616545,0.005096588987732093,580.393,0.0,0.0,0.0
8.0,273.07000000000005,-0.04446434574798352,0.005827004475806894,580.393,0.0,0.0,0.0
9.0,273.06000000000006,-0.04376989589385884,0.0065580043222539346,580.393,0.0,0.0,0.0
10.0,273.05000000000007,-0.04307489041630581,0.007289589035467652,580.393,0.0,0.0,0.0
11.0,273.0400000000001,-0.04237932883189284,0.008021759124323295,580.393,0.0,0.0,0.0
12.0,273.0300000000001,-0.041683210656733895,0.008754515098174978,580.393,0.0,0.0,0.0
13.0,273.0200000000001,-0.04098653540649217,0.009487857466850337,580.393,0.0,0.0,0.0
14.0,273.0100000000001,-0.04028930259637543,0.010221786740657515,580.393,0.0,0.0,0.0
15.0,273.0000000000001,-0.03959151174113989,0.010956303430379203,580.393,0.0,0.0,0.0
16.0,272.9900000000001,-0.038893162355078656,0.011691408047285667,580.393,0.0,0.0,0.0
17.0,272.98000000000013,-0.03819425395204134,0.012427101103114348,580.393,0.0,0.0,0.0
18.0,272.97000000000014,-0.03749478604540855,0.01316338311009635,580.393,0.0,0.0,0.0
19.0,272.96000000000015,-0.036794758148117335,0.013900254580929163,580.393,0.0,0.0,0.0
20.0,272.95000000000016,-0.036094169772634535,0.014637716028805842,580.393,0.0,0.0,0.0
21.0,272.94000000000017,-0.03539302043098195,0.015375767967387452,580.393,0.0,0.0,0.0
22.0,272.9300000000002,-0.034691309634717574,0.016114410910823638,580.393,0.0,0.0,0.0
23.0,272.9200000000002,-0.03398903689493791,0.016853645373749653,580.393,0.0,0.0,0.0
24.0,272.9100000000002,-0.03328620172228979,0.017593471871274025,580.393,0.0,0.0,0.0
25.0,272.9000000000002,-0.03258280362695118,0.01833389091899883,580.393,0.0,0.0,0.0
26.0,272.8900000000002,-0.03187884211864753,0.019074903033002716,580.393,0.0,0.0,0.0
27.0,272.8800000000002,-0.031174316706641,0.01981650872985163,580.393,0.0,0.0,0.0
28.0,272.87000000000023,-0.03046922689973331,0.020558708526596466,580.393,0.0,0.0,0.0
29.0,272.86000000000024,-0.029763572206266818,0.02130150294077181,580.393,0.0,0.0,0.0
30.0,272.85000000000025,-0.029057352134120418,0.022044892490399686,580.393,0.0,0.0,0.0
31.0,272.84000000000026,-0.02835056619071171,0.022788877693987696,580.393,0.0,0.0,0.0
32.0,272.83000000000027,-0.027643213882997526,0.023533459070528867,580.393,0.0,0.0,0.0
33.0,272.8200000000003,-0.026935294717469443,0.02427863713950597,580.393,0.0,0.0,0.0
34.0,272.8100000000003,-0.02622680820015744,0.02502441242088703,580.393,0.0,0.0,0.0
35.0,272.8000000000003,-0.025517753836625592,0.02577078543513109,580.393,0.0,0.0,0.0
36.0,272.7900000000003,-0.02480813113197482,0.026517756703184348,580.393,0.0,0.0,0.0
37.0,272.7800000000003,-0.024097939590842096,0.027265326746482025,580.393,0.0,0.0,0.0
38.0,272.7700000000003,-0.023387178717400044,0.028013496086947344,580.393,0.0,0.0,0.0
39.0,272.76000000000033,-0.022675848015351857,0.028762265246998167,580.393,0.0,0.0,0.0
40.0,272.75000000000034,-0.02196394698794004,0.029511634749536893,580.393,0.0,0.0,0.0
41.0,272.74000000000035,-0.02125147513793457,0.030261605117963726,580.393,0.0,0.0,0.0
42.0,272.73000000000036,-0.020538431967641102,0.031012176876167374,580.393,0.0,0.0,0.0
43.0,272.72000000000037,-0.019824816978899252,0.03176335054852714,580.393,0.0,0.0,0.0
44.0,272.7100000000004,-0.01911062967308086,0.03251512665991503,580.393,0.0,0.0,0.0
45.0,272.7000000000004,-0.01839586955108336,0.0332675057357018,580.393,0.0,0.0,0.0
46.0,272.6900000000004,-0.01768053611334331,0.034020488301743854,580.393,0.0,0.0,0.0
47.0,272.6800000000004,-0.016964628859821446,0.03477407488439851,580.393,0.0,0.0,0.0
48.0,272.6700000000004,-0.01624814729001416,0.035528266010511476,580.393,0.0,0.0,0.0
49.0,272.6600000000004,-0.015531090902941554,0.03628306220743005,580.393,0.0,0.0,0.0
50.0,272.65000000000043,-0.014813459197155716,0.03703846400299394,580.393,0.0,0.0,0.0
51.0,272.64000000000044,-0.014095251670741086,0.03779447192553568,580.393,0.0,0.0,0.0
